host_ID,host_species,village,grid,season,sex,mass,dist_village,pathogen,otu_Order,otu_Family,otu_Genus,sum_relative_reads,OTU_ID,pathogen_type
2879,Rattus rattus,Sarahandrano,secondary_forest,1,female,122,2.35,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,1,78,Protozoa
3407,Rattus rattus,Sarahandrano,agroforest,3,female,52,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.743544735514829,78,Protozoa
2880,Rattus rattus,Sarahandrano,secondary_forest,1,male,104,2.35,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.97739639928938,78,Protozoa
2736,Rattus rattus,Mandena,village,3,male,82,0,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,1,78,Protozoa
3471,Rattus rattus,Sarahandrano,village,3,male,102,0,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.256225930633704,78,Protozoa
2935,Rattus rattus,Sarahandrano,agroforest,1,female,132,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.703394000183338,78,Protozoa
2631,Rattus rattus,Mandena,flooded_rice,3,female,39,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.323615178946699,78,Protozoa
3712,Rattus rattus,Andatsakala,secondary_forest,2,female,134,2.08,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.483245125216601,78,Protozoa
2183,Rattus rattus,Mandena,flooded_rice,1,female,118,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.280710643105166,78,Protozoa
4004,Rattus rattus,Andatsakala,village,3,female,118,0,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.874140844794818,78,Protozoa
2481,Rattus rattus,Mandena,village,2,male,122,0,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.790773119402474,78,Protozoa
2553,Rattus rattus,Mandena,agriculture,3,female,50,1.61,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.734283840872188,78,Protozoa
2582,Rattus rattus,Mandena,agriculture,3,female,33,1.61,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,1,78,Protozoa
2583,Rattus rattus,Mandena,agriculture,3,female,62,1.61,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.217017222193616,78,Protozoa
3383,Rattus rattus,Sarahandrano,agroforest,3,female,126,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.460602783296069,78,Protozoa
2104,Rattus rattus,Mandena,village,1,female,100,0,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,1,78,Protozoa
3041,Rattus rattus,Sarahandrano,agroforest,2,male,148,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.601090923739197,78,Protozoa
3399,Rattus rattus,Sarahandrano,agroforest,3,female,76,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.439397053707324,78,Protozoa
2025,Rattus rattus,Mandena,brushy_regrowth,1,male,120,2.21,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.594628731363277,78,Protozoa
3396,Rattus rattus,Sarahandrano,agroforest,3,male,136,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.838870432864611,78,Protozoa
3339,Rattus rattus,Sarahandrano,secondary_forest,3,male,148,2.35,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,1,78,Protozoa
3395,Rattus rattus,Sarahandrano,agroforest,3,male,128,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.631219995632806,78,Protozoa
3452,Rattus rattus,Sarahandrano,village,3,female,117,0,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.789356160242311,78,Protozoa
2709,Rattus rattus,Mandena,agroforest,3,male,116,0.45,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0991957033997027,78,Protozoa
3344,Rattus rattus,Sarahandrano,secondary_forest,3,female,108,2.35,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.778750000212021,78,Protozoa
2841,Rattus rattus,Sarahandrano,agriculture,1,male,102,1.1,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.707809905245678,78,Protozoa
2708,Rattus rattus,Mandena,agroforest,3,female,106,0.45,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.835036476122682,78,Protozoa
2720,Rattus rattus,Mandena,agroforest,3,male,105,0.45,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0711743805007916,78,Protozoa
2251,Rattus rattus,Mandena,agroforest,1,male,94,0.45,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.209841188534329,78,Protozoa
2204,Rattus rattus,Mandena,village,1,male,108,0,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.535175881052903,78,Protozoa
2936,Rattus rattus,Sarahandrano,agroforest,1,male,146,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.915915915276283,78,Protozoa
2946,Rattus rattus,Sarahandrano,agroforest,1,male,162,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.762572778956265,78,Protozoa
2177,Rattus rattus,Mandena,flooded_rice,1,female,125,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.807588770400449,76,Protozoa
2287,Rattus rattus,Mandena,brushy_regrowth,2,male,27,2.21,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,1,76,Protozoa
2330,Rattus rattus,Mandena,agriculture,2,male,132,1.61,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.110335653548685,76,Protozoa
2343,Rattus rattus,Mandena,agriculture,2,male,138,1.61,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,1,76,Protozoa
2428,Rattus rattus,Mandena,flooded_rice,2,male,128,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.40079894434728,76,Protozoa
2435,Rattus rattus,Mandena,flooded_rice,2,male,150,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.469423663743191,76,Protozoa
2451,Rattus rattus,Mandena,village,2,female,26,0,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.117699127345628,76,Protozoa
2565,Rattus rattus,Mandena,agriculture,3,male,134,1.61,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,1,76,Protozoa
2568,Rattus rattus,Mandena,agriculture,3,male,120,1.61,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.281143053520314,76,Protozoa
2571,Rattus rattus,Mandena,agriculture,3,male,112,1.61,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.230217974758801,76,Protozoa
2600,Rattus rattus,Mandena,flooded_rice,3,male,33,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.397329503201115,76,Protozoa
2604,Rattus rattus,Mandena,flooded_rice,3,male,118,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.789748674205402,76,Protozoa
2615,Rattus rattus,Mandena,flooded_rice,3,female,28,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.254593176069246,76,Protozoa
2618,Rattus rattus,Mandena,flooded_rice,3,female,127,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.279154540781101,76,Protozoa
2632,Rattus rattus,Mandena,flooded_rice,3,male,118,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.18262987712495,76,Protozoa
2645,Rattus rattus,Mandena,flooded_rice,3,male,130,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.078912434506905,76,Protozoa
