host_ID,host_species,village,season,sex,mass,unfiltered_reads,grid,dist_village,total_reads,asv_ID,reads
2010,Rattus rattus,Mandena,1,female,80,20464,brushy_regrowth,2.21,9912,ASV_1,0.0903954802259887
2011,Rattus rattus,Mandena,1,male,51,27662,brushy_regrowth,2.21,20364,ASV_1,0.07527990571596936
2014,Rattus rattus,Mandena,1,male,77,11206,brushy_regrowth,2.21,7609.999999999999,ASV_1,0.03153745072273324
2015,Rattus rattus,Mandena,1,female,65,37619,brushy_regrowth,2.21,30276,ASV_1,0.2545250363324085
2018,Rattus rattus,Mandena,1,male,90,24868,brushy_regrowth,2.21,14953.999999999998,ASV_1,0.17634077838705364
2019,Rattus rattus,Mandena,1,female,66,20837,brushy_regrowth,2.21,15486,ASV_1,0.11223040165310602
2020,Rattus rattus,Mandena,1,male,79,22374,brushy_regrowth,2.21,14983.999999999998,ASV_1,0.11018419647624136
2029,Rattus rattus,Mandena,1,female,66.5,17569,brushy_regrowth,2.21,11675,ASV_1,0.03905781584582441
2031,Rattus rattus,Mandena,1,male,130,26737,brushy_regrowth,2.21,16149.999999999998,ASV_1,0.02055727554179566
2037,Rattus rattus,Mandena,1,female,85,13500,brushy_regrowth,2.21,8636,ASV_1,0.13767948124131543
2053,Rattus rattus,Mandena,1,female,24,15631,agriculture,1.61,12496,ASV_1,0.3517125480153649
2054,Rattus rattus,Mandena,1,female,55,27543,agriculture,1.61,12168.999999999998,ASV_1,0.05933108718875832
2059,Rattus rattus,Mandena,1,male,17,31004,agriculture,1.53,23828,ASV_1,0.17865536343797214
2061,Mus musculus,Mandena,1,male,11.8,22636,agriculture,1.61,15814.999999999998,ASV_1,0.2426177679418274
2063,Rattus rattus,Mandena,1,female,35,21881,agriculture,1.61,18523,ASV_1,0.50925875938023
2064,Rattus rattus,Mandena,1,male,100,17242,agriculture,1.61,10516.999999999998,ASV_1,0.03242369497004849
2065,Rattus rattus,Mandena,1,female,90,29274,agriculture,1.61,20460,ASV_1,0.01593352883675463
2068,Mus musculus,Mandena,1,male,9.5,23304,agriculture,1.61,14411.999999999998,ASV_1,0.05682764363030807
2075,Mus musculus,Mandena,1,female,12,18158,agriculture,1.61,8976.999999999998,ASV_1,0.05881697671828004
2076,Mus musculus,Mandena,1,male,9,16790,agriculture,1.61,14713,ASV_1,0.17963705566505814
2077,Rattus rattus,Mandena,1,male,36,37194,agriculture,1.61,26260,ASV_1,0.4884234577303884
2084,Mus musculus,Mandena,1,male,11.5,21510,agriculture,1.61,12542.999999999998,ASV_1,0.02622976959260145
2087,Rattus rattus,Mandena,1,female,115,27361,agriculture,1.61,13161.999999999998,ASV_1,0.04839690016714786
2090,Mus musculus,Mandena,1,male,11.2,18489,agriculture,1.61,14524,ASV_1,0.7336133296612504
2091,Rattus rattus,Mandena,1,female,21,23650,agriculture,1.61,23179,ASV_1,0.34902282238232885
2092,Rattus rattus,Mandena,1,female,50,29500,agriculture,1.61,19241,ASV_1,0.02063302323164075
2094,Rattus rattus,Mandena,1,male,72,4877,agriculture,1.61,3261.9999999999995,ASV_1,0.04230533415082771
2096,Rattus rattus,Mandena,1,female,125,21505,agriculture,1.61,9182.999999999998,ASV_1,0.07121855602744202
2099,Mus musculus,Mandena,1,female,9.5,27237,agriculture,1.61,15770.999999999998,ASV_1,0.17145393443662418
2103,Rattus rattus,Mandena,1,female,54,17723,village,0,11913,ASV_1,0.24771258289263828
2140,Rattus rattus,Mandena,1,male,86,26826,semi-intact_forest,3.44,20447,ASV_1,0.8083337408910842
2160,Rattus rattus,Mandena,1,female,80,16417,flooded_rice,1.19,12467,ASV_1,0.01467875190502927
2166,Mus musculus,Mandena,1,female,18.2,30283,flooded_rice,1.19,17951.999999999996,ASV_1,0.129846256684492
2167,Mus musculus,Mandena,1,male,10.5,18689,flooded_rice,1.19,15209,ASV_1,0.14971398514037745
2169,Rattus rattus,Mandena,1,female,82,26773,flooded_rice,1.19,16681,ASV_1,0.14111863797134463
2175,Rattus rattus,Mandena,1,male,35,22857,flooded_rice,1.19,22668,ASV_1,0.05324686783130403
2176,Rattus rattus,Mandena,1,female,100,24163,flooded_rice,1.19,18752,ASV_1,0.01333191126279863
2177,Rattus rattus,Mandena,1,female,125,25097,flooded_rice,1.19,16880,ASV_1,0.07180094786729858
2178,Rattus rattus,Mandena,1,female,100,24779,flooded_rice,1.19,16646,ASV_1,0.02204733869998798
2180,Mus musculus,Mandena,1,male,8.7,23230,flooded_rice,1.19,11566.999999999998,ASV_1,0.02221837987377884
2198,Mus musculus,Mandena,1,female,13,12426,village,0,8519,ASV_1,0.01972062448644206
2199,Mus musculus,Mandena,1,female,12.4,18294,village,0,15251,ASV_1,0.16864467903744018
2210,Mus musculus,Mandena,1,female,12,28108,agroforest,0.45,18008,ASV_1,0.4023211905819636
2215,Mus musculus,Mandena,1,male,15.6,31402,agroforest,0.45,19481.999999999996,ASV_1,0.07920131403346681
2218,Rattus rattus,Mandena,1,male,100,21677,agroforest,0.45,15591.999999999998,ASV_1,0.17015135967162648
2222,Rattus rattus,Mandena,1,male,128,7899,village,0,5556,ASV_1,0.03617710583153347
2227,Rattus rattus,Mandena,1,female,66,24817,village,0,24462,ASV_1,0.02992396369879813
2231,Mus musculus,Mandena,1,male,12,36215,agroforest,0.45,22810,ASV_1,0.32433143358176236
2232,Mus musculus,Mandena,1,male,13,37721,agroforest,0.45,31311,ASV_1,0.8092044329468877
