host_ID,host_species,village,season,sex,mass,unfiltered_reads,grid,dist_village,total_reads,asv_ID,reads
2237,Mus musculus,Mandena,1,male,11,23067,agroforest,0.45,13284.999999999998,ASV_1,0.2245389537071886
2241,Rattus rattus,Mandena,1,female,63,42905,agroforest,0.45,29225,ASV_1,0.03883661248930709
2248,Rattus rattus,Mandena,1,male,105,24740,agroforest,0.45,15956.999999999998,ASV_1,0.31340477533370936
2249,Rattus rattus,Mandena,1,female,85,17197,agroforest,0.45,9448,ASV_1,0.0302709568162574
2262,Rattus rattus,Mandena,2,male,38,30850,brushy_regrowth,2.21,20673.999999999996,ASV_1,0.02839315081745186
2278,Rattus rattus,Mandena,2,male,100,37724,brushy_regrowth,2.21,27407.999999999996,ASV_1,0.24062317571511968
2287,Rattus rattus,Mandena,2,male,27,17517,brushy_regrowth,2.21,8589.999999999998,ASV_1,0.04225844004656576
2297,Mus musculus,Mandena,2,male,13.5,29327,agriculture,1.61,20520,ASV_1,0.627729044834308
2299,Mus musculus,Mandena,2,male,12,68985,agriculture,1.61,37578.99999999999,ASV_1,0.06647329625588759
2302,Rattus rattus,Mandena,2,male,100,54935,agriculture,1.61,35510,ASV_1,0.8181357364122782
2303,Rattus rattus,Mandena,2,female,98,25550,agriculture,1.61,17437,ASV_1,0.5798589206858978
2305,Microgale brevicaudata,Mandena,2,male,10,40950,agriculture,1.53,27382.999999999996,ASV_1,0.37004710952050546
2306,Microgale brevicaudata,Mandena,2,male,10,18719,agriculture,1.53,10792.999999999998,ASV_1,0.0959881404614102
2307,Microgale brevicaudata,Mandena,2,male,13.5,19816,agriculture,1.53,13281.999999999998,ASV_1,0.1945490137027556
2308,Microgale brevicaudata,Mandena,2,male,10.5,23667,agriculture,1.53,14318.999999999998,ASV_1,0.15245478036175708
2309,Microgale brevicaudata,Mandena,2,male,10,27946,agriculture,1.64,16300.999999999998,ASV_1,0.10115943807128398
2321,Mus musculus,Mandena,2,female,13,24195,agriculture,1.61,11493.999999999998,ASV_1,0.11954062989385766
2323,Mus musculus,Mandena,2,female,9.5,24890,agriculture,1.61,12189.999999999998,ASV_1,0.394667760459393
2324,Rattus rattus,Mandena,2,male,125,27600,agriculture,1.61,17706,ASV_1,0.05642155201626567
2328,Rattus rattus,Mandena,2,female,98,39357,agriculture,1.61,17192.999999999996,ASV_1,0.05601116733554354
2330,Rattus rattus,Mandena,2,male,132,4052,agriculture,1.61,3005.9999999999995,ASV_1,0.03426480372588157
2335,Mus musculus,Mandena,2,female,9,31046,agriculture,1.61,26662,ASV_1,0.5231790563348586
2337,Rattus rattus,Mandena,2,female,103,59808,agriculture,1.61,51646,ASV_1,0.9549626302133756
2341,Rattus rattus,Mandena,2,male,80,55328,agriculture,1.61,39440,ASV_1,0.04173427991886409
2343,Rattus rattus,Mandena,2,male,138,41898,agriculture,1.61,29176,ASV_1,0.7965451055662188
2354,Rattus rattus,Mandena,2,male,25,18157,secondary_forest,2.78,10819.999999999998,ASV_1,0.04500924214417744
2368,Rattus rattus,Mandena,2,male,69,28621,secondary_forest,2.78,14484.999999999998,ASV_1,0.03424231964100794
2377,Rattus rattus,Mandena,2,male,32,17482,semi-intact_forest,3.44,9485.999999999998,ASV_1,0.200506008855155
2381,Rattus rattus,Mandena,2,male,129,23117,semi-intact_forest,3.44,15608,ASV_1,0.3673757047667862
2395,Mus musculus,Mandena,2,male,13.5,21250,flooded_rice,1.19,15134,ASV_1,0.5060129509713228
2397,Rattus rattus,Mandena,2,male,100,19975,flooded_rice,1.19,12857,ASV_1,0.06478960877343082
2400,Rattus rattus,Mandena,2,female,122,29600,flooded_rice,1.19,22581,ASV_1,0.01461405606483326
2410,Rattus rattus,Mandena,2,male,117,31063,flooded_rice,1.19,12640.999999999998,ASV_1,0.08836326240012658
2413,Mus musculus,Mandena,2,male,15,26483,flooded_rice,1.19,16090.999999999998,ASV_1,0.04244608787520974
2415,Mus musculus,Mandena,2,male,15.5,29024,flooded_rice,1.19,20287,ASV_1,0.12564696603736383
2417,Rattus rattus,Mandena,2,female,145,29336,flooded_rice,1.19,24265,ASV_1,0.27496393983103234
2419,Rattus rattus,Mandena,2,female,135,29428,flooded_rice,1.19,18487,ASV_1,0.3816195164169417
2426,Mus musculus,Mandena,2,male,16.5,20122,flooded_rice,1.19,12498.999999999998,ASV_1,0.03736298903912313
2428,Rattus rattus,Mandena,2,male,128,24278,flooded_rice,1.19,14603.999999999998,ASV_1,0.17775951794029035
2435,Rattus rattus,Mandena,2,male,150,26981,flooded_rice,1.19,20840,ASV_1,0.3666506717850288
2442,Mus musculus,Mandena,2,male,10.5,18828,agroforest,0.49,13299.999999999998,ASV_1,0.1092481203007519
2451,Rattus rattus,Mandena,2,female,26,24306,village,0,17464,ASV_1,0.32959230416857543
2454,Rattus rattus,Mandena,2,female,72,64527,village,0,50502.99999999999,ASV_1,0.1239332316892066
2457,Rattus rattus,Mandena,2,female,112,49072,village,0,30639,ASV_1,0.02010509481379939
2462,Rattus rattus,Mandena,2,female,88,20487,agroforest,0.45,11683,ASV_1,0.02627749721818026
2463,Mus musculus,Mandena,2,female,16,21730,agroforest,0.45,14541,ASV_1,0.43085069802627063
2469,Rattus rattus,Mandena,2,female,33,33333,village,0,30602,ASV_1,0.07466832233187373
2473,Mus musculus,Mandena,2,male,15,22705,agroforest,0.45,11825.999999999998,ASV_1,0.03526128868594622
2480,Rattus rattus,Mandena,2,female,117,32339,village,0,17762.999999999996,ASV_1,0.39126273715025617
2486,Rattus rattus,Mandena,2,male,25.5,41008,village,0,19805.999999999996,ASV_1,0.053115217610825
2496,Rattus rattus,Mandena,2,male,112,38365,agroforest,0.45,21085.999999999996,ASV_1,0.04225552499288627
2499,Rattus rattus,Mandena,3,male,73,107606,brushy_regrowth,2.21,41398.99999999999,ASV_1,0.360757506219957
2500,Rattus rattus,Mandena,3,male,77,34173,brushy_regrowth,2.21,26165,ASV_1,0.0641314733422511
2505,Rattus rattus,Mandena,3,male,64,23695,brushy_regrowth,2.21,11781.999999999998,ASV_1,0.06102529281955525
2508,Rattus rattus,Mandena,3,male,182,18124,brushy_regrowth,2.21,7996.999999999998,ASV_1,0.07265224459172191
2510,Rattus rattus,Mandena,3,male,149,12693,brushy_regrowth,2.21,7784.999999999999,ASV_1,0.2688503532434169
2511,Rattus rattus,Mandena,3,male,94,17873,brushy_regrowth,2.21,11700,ASV_1,0.10376068376068376
2515,Rattus rattus,Mandena,3,male,122,17752,brushy_regrowth,2.21,10129.999999999998,ASV_1,0.03563672260612044
2517,Rattus rattus,Mandena,3,female,73,12449,brushy_regrowth,2.21,7175.999999999999,ASV_1,0.02954292084726866
2519,Mus musculus,Mandena,3,female,5.8,21665,brushy_regrowth,2.38,12035.999999999998,ASV_1,0.10584911930874046
2522,Rattus rattus,Mandena,3,male,24,18565,brushy_regrowth,2.21,6632.999999999999,ASV_1,0.03497663199155735
2523,Rattus rattus,Mandena,3,male,70.5,24808,brushy_regrowth,2.21,13710.999999999998,ASV_1,0.1638100794982131
2526,Rattus rattus,Mandena,3,female,36,22448,brushy_regrowth,2.21,14527.999999999998,ASV_1,0.41815803964757714
2531,Mus musculus,Mandena,3,male,11.5,25363,brushy_regrowth,2.21,17545,ASV_1,0.2658877172983756
2532,Mus musculus,Mandena,3,male,10,27894,brushy_regrowth,2.21,12839.999999999998,ASV_1,0.08076323987538941
2533,Mus musculus,Mandena,3,male,14.5,20814,brushy_regrowth,2.21,13094.999999999998,ASV_1,0.2099274532264223
2534,Mus musculus,Mandena,3,male,11,19190,brushy_regrowth,2.21,15534.999999999998,ASV_1,0.4150627615062762
2536,Rattus rattus,Mandena,3,female,52,17787,brushy_regrowth,2.21,12020.999999999998,ASV_1,0.01805174278346227
2538,Rattus rattus,Mandena,3,female,39,19657,brushy_regrowth,2.21,14283.999999999996,ASV_1,0.04256510781293755
2540,Rattus rattus,Mandena,3,female,128,24604,brushy_regrowth,2.21,13473,ASV_1,0.24619609589549463
2541,Rattus rattus,Mandena,3,male,46,20122,brushy_regrowth,2.21,9676.999999999998,ASV_1,0.10209775756949468
2545,Mus musculus,Mandena,3,male,9,21739,agriculture,1.53,19823,ASV_1,0.31231397871159766
2546,Mus musculus,Mandena,3,female,10.5,27238,agriculture,1.61,20440,ASV_1,0.18938356164383563
2547,Mus musculus,Mandena,3,male,11,30542,agriculture,1.61,24955,ASV_1,0.7868162692847125
2548,Rattus rattus,Mandena,3,male,71,21208,agriculture,1.61,13196.999999999998,ASV_1,0.3027960900204592
2549,Rattus rattus,Mandena,3,female,64,22125,agriculture,1.61,15785,ASV_1,0.03148558758314855
2550,Rattus rattus,Mandena,3,female,45,21214,agriculture,1.61,17674,ASV_1,0.06467126853004412
2552,Rattus rattus,Mandena,3,female,58,23125,agriculture,1.61,18869,ASV_1,0.6270072605861466
2557,Rattus rattus,Mandena,3,female,60,12601,agriculture,1.61,7944.999999999999,ASV_1,0.06645689112649465
2558,Rattus rattus,Mandena,3,female,102,24366,agriculture,1.61,14660.999999999998,ASV_1,0.04351681331423504
2565,Rattus rattus,Mandena,3,male,134,25713,agriculture,1.61,16126.999999999998,ASV_1,0.29230483040863153
2566,Rattus rattus,Mandena,3,female,73,23796,agriculture,1.61,14152.999999999998,ASV_1,0.08867377941072566
2568,Rattus rattus,Mandena,3,male,120,27871,agriculture,1.61,15988.999999999998,ASV_1,0.03296016011007567
2569,Rattus rattus,Mandena,3,male,148,18705,agriculture,1.61,11816,ASV_1,0.3761002031144211
2571,Rattus rattus,Mandena,3,male,112,17911,agriculture,1.61,13222,ASV_1,0.03123581908939646
2577,Rattus rattus,Mandena,3,male,60,22955,agriculture,1.61,13804,ASV_1,0.09345117357287742
2580,Mus musculus,Mandena,3,male,10.5,29880,agriculture,1.61,19005.999999999996,ASV_1,0.0930232558139535
2581,Rattus rattus,Mandena,3,female,55,13027,agriculture,1.61,10162,ASV_1,0.09191104113363512
2588,Rattus rattus,Mandena,3,male,23,31399,agriculture,1.61,15179.999999999998,ASV_1,0.12496706192358366
2597,Rattus rattus,Mandena,3,female,50,26244,flooded_rice,1.19,20726,ASV_1,0.8339283991122262
2598,Rattus rattus,Mandena,3,male,54,22786,flooded_rice,1.19,10446.999999999998,ASV_1,0.05618837943907342
2600,Rattus rattus,Mandena,3,male,33,20714,flooded_rice,1.19,15549,ASV_1,0.04328252620747315
2602,Rattus rattus,Mandena,3,male,61,26012,flooded_rice,1.19,15687,ASV_1,0.11219481098999172
2604,Rattus rattus,Mandena,3,male,118,20535,flooded_rice,1.19,15223.999999999998,ASV_1,0.05563583815028902
2606,Rattus rattus,Mandena,3,female,120,17467,flooded_rice,1.19,11859.999999999998,ASV_1,0.0788364249578415
2609,Rattus rattus,Mandena,3,female,76,20067,flooded_rice,1.19,11205.999999999998,ASV_1,0.35097269320007146
2610,Rattus rattus,Mandena,3,male,58,30486,flooded_rice,1.19,20848,ASV_1,0.03300076745970836
2615,Rattus rattus,Mandena,3,female,28,18721,flooded_rice,1.19,9296.999999999998,ASV_1,0.08206948478003656
2618,Rattus rattus,Mandena,3,female,127,32345,flooded_rice,1.19,18720.999999999996,ASV_1,0.05133272795256664
2620,Rattus rattus,Mandena,3,male,94,24186,flooded_rice,1.19,15552.999999999998,ASV_1,0.02102488265929403
2623,Rattus rattus,Mandena,3,female,80,21162,flooded_rice,1.19,17391,ASV_1,0.2607095624173423
2624,Rattus rattus,Mandena,3,female,53,18232,flooded_rice,1.19,12107.999999999998,ASV_1,0.02725470763131813
2626,Microgale brevicaudata,Mandena,3,male,9.6,24291,flooded_rice,1.15,18758,ASV_1,0.7175605075167928
2629,Mus musculus,Mandena,3,female,11,16328,flooded_rice,1.19,10262.999999999998,ASV_1,0.06801130273799086
2632,Rattus rattus,Mandena,3,male,118,35961,flooded_rice,1.19,15005.999999999998,ASV_1,0.04698120751699321
2633,Rattus rattus,Mandena,3,female,50,23499,flooded_rice,1.19,16786,ASV_1,0.01882521148576194
2641,Mus musculus,Mandena,3,male,11.5,23098,flooded_rice,1.19,14142.999999999998,ASV_1,0.10761507459520613
2644,Rattus rattus,Mandena,3,male,45,27866,flooded_rice,1.19,16494,ASV_1,0.1840063053231478
2645,Rattus rattus,Mandena,3,male,130,25583,flooded_rice,1.19,22593,ASV_1,0.3753374939140442
2650,Rattus rattus,Mandena,3,male,65,19359,secondary_forest,2.78,11146.999999999998,ASV_1,0.21916210639633985
2652,Rattus rattus,Mandena,3,male,168,15552,secondary_forest,2.78,12587,ASV_1,0.01779613887344085
2661,Rattus rattus,Mandena,3,female,112,22407,secondary_forest,2.78,11041.999999999998,ASV_1,0.19108857091106687
2667,Rattus rattus,Mandena,3,female,49,14667,secondary_forest,2.78,11557,ASV_1,0.03590897291684692
2668,Rattus rattus,Mandena,3,female,60,19319,secondary_forest,2.78,15035,ASV_1,0.6216162287994679
2670,Rattus rattus,Mandena,3,female,26.5,17841,secondary_forest,2.78,12137,ASV_1,0.01738485622476723
2674,Rattus rattus,Mandena,3,female,126,23924,secondary_forest,2.78,14650.999999999998,ASV_1,0.04163538325029008
2675,Rattus rattus,Mandena,3,male,98,7286,secondary_forest,2.78,4337,ASV_1,0.14779801706248558
2676,Rattus rattus,Mandena,3,male,112,19313,secondary_forest,2.78,12407,ASV_1,0.1902152010961554
2683,Rattus rattus,Mandena,3,female,29,20393,semi-intact_forest,3.44,12818,ASV_1,0.08097987205492277
2684,Rattus rattus,Mandena,3,female,28,24860,semi-intact_forest,3.44,11927.999999999998,ASV_1,0.07562038900067068
2685,Rattus rattus,Mandena,3,male,29,22239,semi-intact_forest,3.44,15161.999999999998,ASV_1,0.15024403113045773
2691,Rattus rattus,Mandena,3,female,68,21569,semi-intact_forest,3.44,17607.999999999996,ASV_1,0.7868582462517039
2694,Rattus rattus,Mandena,3,male,35,21975,agroforest,0.45,15995,ASV_1,0.105095342294467
2695,Rattus rattus,Mandena,3,male,68,26263,agroforest,0.45,19906,ASV_1,0.4597106400080378
2696,Rattus rattus,Mandena,3,female,86,24995,agroforest,0.45,15712.000000000002,ASV_1,0.7306517311608962
2703,Rattus rattus,Mandena,3,female,95,16270,agroforest,0.45,10317.999999999998,ASV_1,0.03527815468113975
2722,Rattus rattus,Mandena,3,male,115,26667,agroforest,0.45,15803.999999999998,ASV_1,0.28802834725385984
2723,Rattus rattus,Mandena,3,female,71,25632,agroforest,0.45,20903,ASV_1,0.7377409941156772
2725,Rattus rattus,Mandena,3,female,64,20976,agroforest,0.45,15146.999999999998,ASV_1,0.12253251468937748
2737,Rattus rattus,Mandena,3,female,73,21052,village,0,10889.999999999998,ASV_1,0.04049586776859504
2740,Rattus rattus,Mandena,3,female,57.5,19920,village,0,16053,ASV_1,0.21478851305052016
2745,Rattus rattus,Mandena,3,male,95,31690,agroforest,0.45,11053.999999999998,ASV_1,0.04061878053193413
2751,Rattus rattus,Mandena,3,male,105,22635,village,0,13412.999999999998,ASV_1,0.04652203086557817
2753,Mus musculus,Mandena,3,female,12.5,4800,village,0,4736,ASV_1,0.02005912162162161
2755,Rattus rattus,Mandena,3,female,77,27334,agroforest,0.45,26407,ASV_1,0.8220926269549741
2757,Rattus rattus,Mandena,3,male,85,23606,agroforest,0.45,12436.999999999998,ASV_1,0.20905363029669535
2758,Rattus rattus,Mandena,3,female,114,23637,agroforest,0.45,17727,ASV_1,0.6662717887967508
2759,Rattus rattus,Mandena,3,female,110,13708,agroforest,0.45,8334.999999999998,ASV_1,0.01907618476304739
2764,Rattus rattus,Mandena,3,male,21,22629,village,0,17854,ASV_1,0.0365184272431948
2766,Rattus rattus,Mandena,3,male,100,24049,agroforest,0.45,13479.999999999998,ASV_1,0.08620178041543028
2792,Rattus rattus,Sarahandrano,1,female,78,26559,brushy_regrowth,0.72,14058.999999999998,ASV_1,0.02062735614197311
2807,Rattus rattus,Sarahandrano,1,female,110,39070,brushy_regrowth,0.72,17935,ASV_1,0.05029272372456091
2811,Rattus rattus,Sarahandrano,1,female,74,19129,brushy_regrowth,0.72,10570.999999999998,ASV_1,0.5821587361649797
2812,Rattus rattus,Sarahandrano,1,male,120,26638,brushy_regrowth,0.72,14289.999999999998,ASV_1,0.05472358292512246
2819,Rattus rattus,Sarahandrano,1,male,48,27395,agriculture,1.1,12857.999999999998,ASV_1,0.408928293669311
2820,Rattus rattus,Sarahandrano,1,male,32,30461,agriculture,1.1,16088.999999999998,ASV_1,0.0274100316986761
2821,Rattus rattus,Sarahandrano,1,female,140,32648,agriculture,1.1,20544,ASV_1,0.02915693146417445
2826,Rattus rattus,Sarahandrano,1,male,148,19364,agriculture,1.1,15236.999999999998,ASV_1,0.04685961803504628
2827,Rattus rattus,Sarahandrano,1,male,110,19951,agriculture,1.1,8732.999999999998,ASV_1,0.02885606320851939
2828,Rattus rattus,Sarahandrano,1,male,77,29495,agriculture,1.1,11438.999999999998,ASV_1,0.04082524696214704
2829,Rattus rattus,Sarahandrano,1,female,79,36127,agriculture,1.1,33914,ASV_1,0.02249808338739163
2831,Rattus rattus,Sarahandrano,1,male,82,28437,agriculture,1.1,15524.999999999998,ASV_1,0.07008051529790661
2832,Rattus rattus,Sarahandrano,1,male,76.5,68947,agriculture,1.1,28770.999999999996,ASV_1,0.2554308157519725
2839,Rattus rattus,Sarahandrano,1,male,132,56165,agriculture,1.1,47783,ASV_1,0.02385785739698218
2846,Rattus rattus,Sarahandrano,1,female,104,26656,agriculture,1.1,14225.999999999998,ASV_1,0.10979895965134262
2847,Rattus rattus,Sarahandrano,1,male,118,31824,agriculture,1.1,13974.999999999998,ASV_1,0.03971377459749552
2934,Rattus rattus,Sarahandrano,1,male,94,26063,agroforest,2.11,13954.999999999998,ASV_1,0.07545682551056968
2982,Rattus rattus,Sarahandrano,1,male,148,32666,village,0,16912.999999999996,ASV_1,0.30840182108437303
2983,Mus musculus,Sarahandrano,1,male,11,54872,flooded_rice,0.33,34311.99999999999,ASV_1,0.01873979948705991
3000,Rattus rattus,Sarahandrano,2,male,112,41678,brushy_regrowth,0.72,17698,ASV_1,0.5119787546615436
3001,Rattus rattus,Sarahandrano,2,male,102,27979,brushy_regrowth,0.72,14595.999999999998,ASV_1,0.2799397095094547
3003,Mus musculus,Sarahandrano,2,male,15,29817,brushy_regrowth,0.72,25049,ASV_1,0.6442971775320372
3005,Rattus rattus,Sarahandrano,2,male,150,25593,brushy_regrowth,0.72,16888,ASV_1,0.349301279014685
3007,Mus musculus,Sarahandrano,2,male,15.8,24874,brushy_regrowth,0.72,11594.999999999998,ASV_1,0.0848641655886158
3009,Mus musculus,Sarahandrano,2,female,17.5,23410,brushy_regrowth,0.72,20957,ASV_1,0.02199742329531898
3011,Rattus rattus,Sarahandrano,2,female,68,22169,brushy_regrowth,0.72,12337.999999999998,ASV_1,0.04441562651969526
3015,Mus musculus,Sarahandrano,2,male,11.5,22057,brushy_regrowth,0.72,17678,ASV_1,0.228758909378889
3020,Rattus rattus,Sarahandrano,2,female,86,33452,agroforest,2.11,9704.999999999998,ASV_1,0.13673364245234418
3023,Rattus rattus,Sarahandrano,2,male,144,37953,agroforest,2.11,21603,ASV_1,0.6540295329352406
3024,Rattus rattus,Sarahandrano,2,male,160,30627,agroforest,2.11,22156,ASV_1,0.22544683155804296
3028,Mus musculus,Sarahandrano,2,male,10.5,21225,agroforest,2.11,12265.999999999998,ASV_1,0.15791619109734226
3030,Rattus rattus,Sarahandrano,2,male,176,34431,agroforest,2.11,28703,ASV_1,0.05633557467860502
3031,Rattus rattus,Sarahandrano,2,female,148,38116,agroforest,2.11,16781.999999999996,ASV_1,0.03706352043856513
3039,Rattus rattus,Sarahandrano,2,male,106,24258,agroforest,2.11,11870,ASV_1,0.03909014321819713
3064,Rattus rattus,Sarahandrano,2,male,166,36549,secondary_forest,2.35,18796.999999999996,ASV_1,0.0194711922115231
3078,Mus musculus,Sarahandrano,2,female,14.8,21116,flooded_rice,0.33,11182.999999999998,ASV_1,0.04721452204238576
3082,Mus musculus,Sarahandrano,2,male,11.5,95168,village,0,65180,ASV_1,0.37448603866216634
3083,Mus musculus,Sarahandrano,2,female,10.5,22540,village,0,12583.999999999998,ASV_1,0.06643356643356645
3091,Mus musculus,Sarahandrano,2,female,15.5,21378,flooded_rice,0.33,11376.999999999998,ASV_1,0.02549002373209105
3093,Mus musculus,Sarahandrano,2,female,16,76409,flooded_rice,0.33,41200,ASV_1,0.11842233009708736
3094,Rattus rattus,Sarahandrano,2,female,146,37932,flooded_rice,0.33,26512.999999999996,ASV_1,0.07931957907441634
3097,Mus musculus,Sarahandrano,2,male,8.3,31740,flooded_rice,0.33,20414.999999999996,ASV_1,0.08929708547636543
3103,Mus musculus,Sarahandrano,2,female,10,24413,village,0,19673,ASV_1,0.1106084481268744
3104,Rattus rattus,Sarahandrano,2,female,86,48683,village,0,21243.999999999996,ASV_1,0.31128789305215593
3105,Rattus rattus,Sarahandrano,2,female,93.3,46653,village,0,45382,ASV_1,0.7235467806619365
3106,Mus musculus,Sarahandrano,2,male,8.4,28407,flooded_rice,0.33,18482,ASV_1,0.023861053998485
3113,Mus musculus,Sarahandrano,2,male,6.8,22701,village,0,17310,ASV_1,0.1582322357019064
3114,Rattus rattus,Sarahandrano,2,male,99,87616,village,0,42506,ASV_1,0.10996094668987906
3115,Rattus rattus,Sarahandrano,2,female,152,30278,village,0,29285,ASV_1,0.5246713334471572
3118,Rattus rattus,Sarahandrano,2,female,50.5,30335,flooded_rice,0.33,19787,ASV_1,0.05372214079951482
3119,Rattus rattus,Sarahandrano,2,male,82,35810,village,0,21410.999999999996,ASV_1,0.05053477184624725
3120,Rattus rattus,Sarahandrano,2,male,78,48886,village,0,31672,ASV_1,0.5283215458449103
3127,Rattus rattus,Sarahandrano,2,female,106,37956,agriculture,1.1,18071.999999999996,ASV_1,0.04930278884462152
3136,Rattus rattus,Sarahandrano,2,male,152,24513,agriculture,1.1,17757,ASV_1,0.03919581010305794
3137,Rattus rattus,Sarahandrano,2,male,158,33017,agriculture,1.1,21303,ASV_1,0.06355912312819789
3138,Rattus rattus,Sarahandrano,2,male,154,33134,agriculture,1.1,27061,ASV_1,0.01260116034145079
3162,Mus musculus,Sarahandrano,3,female,12.5,73561,brushy_regrowth,0.72,46856.99999999999,ASV_1,0.205454894679557
